week,Location,id,level
33,Iberia,2008,9.181716760786843
33,Italy,1991,3.20152341264813
33,Italy,1997,3.20505830870074
33,Italy,2000,3.2051277273629
33,Italy,2002,3.2056822326934937
33,Italy,2006,2.942258956602234
33,Italy,2008,3.204080115195872
33,Northern,1991,49.45591649964313
33,Northern,1997,69.73439372771092
33,Northern,2000,92.91820972719242
33,Northern,2002,77.91448268023738
33,Northern,2006,40.75456071003537
33,Northern,2008,63.47274722258305
33,SEE,1991,3.4841058493003936
33,SEE,1997,3.520329995820282
33,SEE,2000,3.462189274799414
33,SEE,2002,3.1327571488321557
33,SEE,2006,3.691950820442768
33,SEE,2008,3.568791662421121
34,UK & Ireland,1991,0.014854819215764821
34,UK & Ireland,1997,0.01508309999284559
34,UK & Ireland,2000,0.010136233299218393
34,UK & Ireland,2002,0.012885300891058037
34,UK & Ireland,2006,0.01440129366104497
34,UK & Ireland,2008,0.012840869074589513
34,CEE,1991,0.5767054667378362
34,CEE,1997,0.5688337645699434
34,CEE,2000,0.6575235233016091
34,CEE,2002,0.4783889812796533
34,CEE,2006,0.6179476771834287
34,CEE,2008,0.5917381568793153
34,CWE,1991,6.2376603991498385
34,CWE,1997,5.924737706427247
34,CWE,2000,5.909372163919256
34,CWE,2002,5.724012992342461
34,CWE,2006,6.060127460417501
34,CWE,2008,5.746454592532912
34,Iberia,1991,9.634447720753185
34,Iberia,1997,6.46860187895583
34,Iberia,2000,6.333796797030503
34,Iberia,2002,5.6265537644778965
34,Iberia,2006,5.6590576218755455
34,Iberia,2008,8.827939650700834
34,Italy,1991,3.205722124472907
34,Italy,1997,3.205651072857626
34,Italy,2000,3.204019780196539
34,Italy,2002,3.2039120596294306
34,Italy,2006,3.023743366440019
34,Italy,2008,3.2077323021112827
34,Northern,1991,50.21135710123525
34,Northern,1997,69.7964260494517
34,Northern,2000,94.64703038415615
34,Northern,2002,78.42039009145918
34,Northern,2006,41.49260454981304
34,Northern,2008,63.90097516845972
34,SEE,1991,3.3630335734556853
34,SEE,1997,3.399831161321765
34,SEE,2000,3.314506280086208
34,SEE,2002,3.0188163443076204
34,SEE,2006,3.5096237763749016
34,SEE,2008,3.400973097127617
35,UK & Ireland,1991,0.013184583432667908
35,UK & Ireland,1997,0.013310450861112513
35,UK & Ireland,2000,0.013878430416733705
35,UK & Ireland,2002,0.01222916189094356
